分類,編號,前置技能,技能樹順序,名稱,英文,日文,簡體中文
0,0,,,武器技能,Weapon,武器スキル,武器技能
1,0,,SR H3 SR H SR H SR H S L2 E DRB SR H SRB H SR H5 S L SR DB E2 DR H3 SR H S L E DR SR H SRB H S L E4 DR H3 SR H S L SR H SRB H S L E2 DR H3 SR H SR H S L2 E6 S,劍術技能,Blade Skills,ブレードスキル,剑术技能
,0,-,9,威力攻擊,Hard Hit,ハードヒット,威力攻击
,1,0,5,迅捷攻擊,Astute,アステュート,迅捷攻击
,2,1,6,橫掃千軍,Trigger Slash,トリガースラッシュ,横扫千军
,3,2,7,爆氣斬,Rampage,ランページ,爆气斩
,15,3,8,完封,Shut-Out,シャットアウト,完封
,4,2,10,流星墜擊,Meteor Breaker,メテオブレイカー,流星坠击
,16,4,11,月弧斬,Lunar Slash,ムーンスラッシュ,月弧斩
,5,0,12,音速斬切,Sonic Blade,アクセルブレード,音速斩切
,6,5,13,真空刃,Spiral Air,スパイラルエアー,真空刃
,7,6,14,風暴氣流,Sword Tempest,ソードテンペスト,风暴气流
,8,6,15,破壞之刃,Buster Blade,バスターブレード,破坏之刃
,17,8,16,靈氣之刃,Aura Blade,オーラブレード,灵气之刃
,9,-,17,劍術要領,Sword Mastery,ブレードマスタリ,剑术要领
,10,9,18,劍速提升,Quick Slash,素早い斬撃,剑速提升
,11,10,19,大師級劍術,Sword Techniques,匠の剣術,大师级剑术
,12,10,20,戰吼,War Cry,ウォークライ,战吼
,13,12,21,狂戰士之怒,Berserk,バーサーク,狂战士之怒
,18,13,22,劍斗,Gladiate,グラディエイト,剑斗
,14,-,23,快速蹴擊,Swift Attack,ファストアタック,快速蹴击
,19,-,0,錘擊,Hammer Slam,ハンマーダウン,锤击
,20,19,1,橫斬披靡,Cleaving Attack,クリーヴアタック,横斩披靡
,21,20,2,風暴烈焰,Storm Blaze,ストームブレイザー,风暴烈焰
,22,21,3,守護之刃,Garde Blade,ガーディブレイド,守护之刃
,23,22,4,魔怪斬,Orge Slash,オーガスラッシュ,魔怪斩
1,1,,E6 DRB H3 S L E2 DRB H3 SR H5 S L E2 V E6 DRB S L SR DRB SR H SR H3 SR DBR H2 S L E V E7 DR S L E DR SR H SR H SR H SRB H3 S L E8 DR H S L SRB H3 SR H SR H SR H3 S L DRB H9 S L DR H SR H5 S L E6 S,射擊技能,Shot Skills,シュートスキル,射击技能
,0,-,4,威力射擊,Power Shot,パワーシュート,威力射击
,1,0,5,渦輪射擊,Bullseye,ワンホイール,涡轮射击
,2,1,1,弱點狙擊,Snipe,スナイピング,弱点狙击
,15,2,2,征服者,Vanquisher,コンクェスター,征服者
,16,4,3,雙暴風,Twin Storm,ツインストーム,双暴风
,17,4,9,退身擊,Retrograde Shot,旋身番擊ち,退身击
,3,1,6,箭雨,Arrow Rain,アローレイン,箭雨
,4,3,7,交叉火線,Cross Fire,クロスファイア,交叉火线
,5,0,10,黏液射擊,Moeba Shot,メーバショット,黏液射击
,6,5,11,麻痺射擊,Paralysis Shot,パライズショット,麻痹射击
,7,6,12,煙霧彈,Smoke Dust,スモークダスト,烟雾弹
,8,7,13,斷腕擊,Arm Break,アームブレイク,断腕击
,18,8,14,曲線砲,Parabola Cannon,パラボラキャノン,曲线炮
,19,9,21,武士弓術,Samurai Archery,武士弓術,武士弓术
,9,-,16,弓術要領,Shot Mastery,シュートマスタリ,弓术要领
,10,9,22,匿蹤,Sneak Attack,ハイドアタック,匿踪
,11,9,17,遠程狙擊,Long Range,ロングレンジ,远程狙击
,12,11,18,回氣,Quick Draw,クイックドロー,回气
,13,12,19,分身射手,Decoy Shot,デコイシューター,分身射手
,14,-,24,破滅射擊,Fatal Shot,デストルクショット,破灭射击
,20,4,8,快速裝載,Quick Loader,クイックローダー,快速装载
,21,13,20,元素所及,Element Starter,エレメントリーチ,元素所及
,22,2,0,貫穿箭,Piercing Shot,,贯穿箭
,23,8,15,廣域散射,Spread Shot,,广域散射
,24,10,23,狩獵汪,Hunting Buddy,,狩猎汪
1,2,,E DRB SR H SR H SR H SRB H S L SR DB E6 DR H3 S L E DR SR H SR H SRB DR SR H S L E6 DR H5 S L SR H3 SR H SR H S L2 SR H3 SR H SR H SR DRB S L E9 V L E6 S E2 DR S,魔法技能,Magic Skills,マジックスキル,魔法技能
,0,-,5,法術/飛箭,Magic: Arrows,術式/アロー,法术/飞箭
,1,0,0,法術/長槍,Magic: Javelin,術式/ジャベリン,法术/长枪
,2,1,1,法術/魔法槍,Magic: Lances,術式/ランサー,法术/魔法枪
,3,2,2,法術/衝擊波,Magic: Impact,術式/インパクト,法术/冲击波
,4,3,3,法術/終結,Magic: Finale,術式／フィナウ,法术/终结
,15,4,4,變時神術,Chronos Shift,クロノスシフト,变时神术
,5,0,7,法術/障壁,Magic: Wall,術式/ウォール,法术/障壁
,6,5,8,法術/引爆,Magic: Blast,術式/ブラスト,法术/引爆
,7,6,9,法術/暴風,Magic: Storm,術式/ストーム,法术/暴风
,8,7,10,法術/爆能,Magic: Burst,術式／バースト,法术/爆能
,16,8,11,法術/魔法砲,Magic: Magic Cannon,術式/マジックカノン,法术/魔法炮
,9,-,13,魔法要領,Magic Mastery,マジックマスタリ,魔法要领
,20,9,14,魔法小刀,Magic Knife,マジックナイフ,魔法小刀
,21,20,15,不遺餘力,Qadal,カダルエレクシオ,不遗余力
,17,7,12,法術/毀滅,Magic: Crash,術式/フォール,法术/毁灭
,10,-,17,魔力充填,MP Charge,チャージング,魔力充填
,11,10,18,縮時詠唱,Chain Cast,チェインキャスト,缩时咏唱
,12,11,19,強射,Power Wave,パワーウェーブ,强射
,13,12,20,魔力灌充,Maximizer,マキシマイザー,魔力灌充
,18,13,21,急速充填,Rapid Charge,急速チャージ,急速充填
,14,-,22,法術/光護,Magic: Guardian Beam,術式/イーゲル,法术/光护
,19,13,23,法術結界,Enchanted Barriers,術式結界,法术结界
,22,4,6,法術/雷射,Magic: Laser,,法术/雷射
,23,21,16,咒法調律,Spell Calibration,,咒法调律
1,3,,E8 DRB H3 S L E DRB SR H SR H SR H SR H S L SR DB E2 DRB H7 S L E DR SR H SR H SRB H SRB H S L E6 V E DR H3 S L E6 DR H3 S L SR H5 SR H SR H3 S L2 SR H3 S L E6 S,格鬥技能,Martial Skills,マーシャルスキル,格斗技能
,0,-,6,重擊,Smash,スマッシュ,重击
,1,0,1,痛擊,Bash,バッシュ,痛击
,2,1,2,穿甲,Shell Break,シェルブレイク,穿甲
,3,2,3,猛暴拳,Heavy Smash,ヘビースマッシュ,猛暴拳
,4,3,4,戰車猛擊,Chariot,チャリオット,战车猛击
,15,4,5,心像千手,Abstract Arms,心象千手,心像千手
,5,0,8,音速波動,Sonic Wave,ソニックウェーブ,音速波动
,6,5,9,震地強襲,Earth Bind,アースバインド,震地强袭
,7,6,10,三段擊,Triple Kick,トライアーツ,三段击
,8,7,11,疾襲,Rush,ラッシュ,疾袭
,16,8,12,修羅氣場,Asura Aura,アシュラオーラ,修罗气场
,17,7,14,閃影擊,Flash Blink,フラッシュアーツ,闪影击
,9,-,15,格鬥要領,Martial Mastery,マーシャルマスタリ,格斗要领
,10,9,16,體術鍛鍊,Martial Disciple,体術鍛錬,体术锻炼
,11,10,17,經絡脈輪,Chakra,チャクラ,经络脉轮
,18,11,18,化勁,Energy Control,化勁,化劲
,12,-,19,乘勝追擊,Aggravate,ワンチャンス,乘胜追击
,13,12,20,猛力追擊,Strong Chase Attack,強力な追撃,猛力追击
,14,-,21,滑行,Slide,スライディング,滑行
,19,4,0,貼山靠,Mountain Press,,贴山靠
,20,6,7,震腳,Seismic Stomp,,震脚
,21,8,13,旋掃,Spin Sweep,,旋扫
